Vernacular name - original,Scientific Name,Taxon Rank,Kingdom,Phylum,Class,Family,Genus,Latitude,Longitude,Country - parsed,State - parsed,Year,freq,Count_1968,Rate_1968
Slender-tailed dunnart,Sminthopsis murina,species,Animalia,Chordata,Mammalia,Dasyuridae,Sminthopsis,-29.53933346,153.090917496,Australia,New South Wales,2019,3,2109,-99.8577524893
Slender-tailed dunnart,Sminthopsis murina,species,Animalia,Chordata,Mammalia,Dasyuridae,Sminthopsis,-32.3806,151.0136,Australia,New South Wales,2019,3,2109,-99.8577524893
Slender-tailed dunnart,Sminthopsis murina,species,Animalia,Chordata,Mammalia,Dasyuridae,Sminthopsis,-34.5,150.4,Australia,New South Wales,2019,3,2109,-99.8577524893
Common Planigale,Planigale maculata,species,Animalia,Chordata,Mammalia,Dasyuridae,Planigale,-29.633752968000003,153.216921517,Australia,New South Wales,2019,1,283,-99.6466431095
Fat-tailed dunnart,Sminthopsis crassicaudata,species,Animalia,Chordata,Mammalia,Dasyuridae,Sminthopsis,-29.9,145.7,Australia,New South Wales,2019,7,1050,-99.3333333333
Fat-tailed dunnart,Sminthopsis crassicaudata,species,Animalia,Chordata,Mammalia,Dasyuridae,Sminthopsis,-33.344052626,142.197644973,Australia,New South Wales,2019,7,1050,-99.3333333333
Fat-tailed dunnart,Sminthopsis crassicaudata,species,Animalia,Chordata,Mammalia,Dasyuridae,Sminthopsis,-27.401980869299997,148.9572113726,Australia,Queensland,2019,7,1050,-99.3333333333
Fat-tailed dunnart,Sminthopsis crassicaudata,species,Animalia,Chordata,Mammalia,Dasyuridae,Sminthopsis,-27.4,149.0,Australia,Queensland,2019,7,1050,-99.3333333333
Fat-tailed dunnart,Sminthopsis crassicaudata,species,Animalia,Chordata,Mammalia,Dasyuridae,Sminthopsis,-27.401980869299997,148.9572113726,Australia,Queensland,2019,7,1050,-99.3333333333
Fat-tailed dunnart,Sminthopsis crassicaudata,species,Animalia,Chordata,Mammalia,Dasyuridae,Sminthopsis,-27.4,149.0,Australia,Queensland,2019,7,1050,-99.3333333333
Fat-tailed dunnart,Sminthopsis crassicaudata,species,Animalia,Chordata,Mammalia,Dasyuridae,Sminthopsis,-36.08455193213944,144.37159538269043,Australia,Victoria,2019,7,1050,-99.3333333333
Stripe-faced Dunnart,Sminthopsis macroura,species,Animalia,Chordata,Mammalia,Dasyuridae,Sminthopsis,-33.338407877,142.225257759,Australia,New South Wales,2019,3,357,-99.1596638655
Stripe-faced Dunnart,Sminthopsis macroura,species,Animalia,Chordata,Mammalia,Dasyuridae,Sminthopsis,-33.34717955,142.224735857,Australia,New South Wales,2019,3,357,-99.1596638655
Stripe-faced Dunnart,Sminthopsis macroura,species,Animalia,Chordata,Mammalia,Dasyuridae,Sminthopsis,-33.453680516999995,142.155650022,Australia,New South Wales,2019,3,357,-99.1596638655
Fawn-footed mosaic-tailed rat,Melomys cervinipes,species,Animalia,Chordata,Mammalia,Muridae,Melomys,-16.35732699924152,145.4077434539795,Australia,Queensland,2019,1,37,-97.29729729729999
Numbat,Myrmecobius fasciatus fasciatus,subspecies,Animalia,Chordata,Mammalia,Myrmecobiidae,Myrmecobius,-34.1,116.5,Australia,Western Australia,2019,2,74,-97.29729729729999
Numbat,Myrmecobius fasciatus fasciatus,subspecies,Animalia,Chordata,Mammalia,Myrmecobiidae,Myrmecobius,-32.5,116.8,Australia,Western Australia,2019,2,74,-97.29729729729999
Greater bilby,Macrotis lagotis,species,Animalia,Chordata,Mammalia,Thylacomyidae,Macrotis,-18.064444,133.716182,Australia,Northern Territory,2019,1,35,-97.14285714290001
Spinifex hopping mouse,Notomys alexis alexis,subspecies,Animalia,Chordata,Mammalia,Muridae,Notomys,-23.69358,133.88945,Australia,Northern Territory,2019,2,59,-96.6101694915
Spinifex hopping mouse,Notomys mitchellii,species,Animalia,Chordata,Mammalia,Muridae,Notomys,-27.395945852883703,117.45838522911072,Australia,Western Australia,2019,2,59,-96.6101694915
Plains rat,Pseudomys australis,species,Animalia,Chordata,Mammalia,Muridae,Pseudomys,-30.34799098873184,136.91247940063477,Australia,South Australia,2019,1,17,-94.11764705879999
Western quoll,Dasyurus geoffroii geoffroii,subspecies,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-34.0,116.6,Australia,Western Australia,2019,5,85,-94.11764705879999
Western quoll,Dasyurus geoffroii geoffroii,subspecies,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-34.1,116.7,Australia,Western Australia,2019,5,85,-94.11764705879999
Western quoll,Dasyurus geoffroii geoffroii,subspecies,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-32.7,117.0,Australia,Western Australia,2019,5,85,-94.11764705879999
Western quoll,Dasyurus geoffroii geoffroii,subspecies,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-32.7,116.9,Australia,Western Australia,2019,5,85,-94.11764705879999
Western quoll,Dasyurus geoffroii geoffroii,subspecies,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-32.0,116.1,Australia,Western Australia,2019,5,85,-94.11764705879999
Kultarr,Antechinomys laniger,species,Animalia,Chordata,Mammalia,Dasyuridae,Antechinomys,-32.432401218,145.425284494,Australia,New South Wales,2019,7,94,-92.5531914894
Kultarr,Antechinomys laniger,species,Animalia,Chordata,Mammalia,Dasyuridae,Antechinomys,-32.432401218,145.425284494,Australia,New South Wales,2019,7,94,-92.5531914894
Kultarr,Antechinomys laniger,species,Animalia,Chordata,Mammalia,Dasyuridae,Antechinomys,-32.432401218,145.425284494,Australia,New South Wales,2019,7,94,-92.5531914894
Kultarr,Antechinomys laniger,species,Animalia,Chordata,Mammalia,Dasyuridae,Antechinomys,-32.42822376,145.38317878,Australia,New South Wales,2019,7,94,-92.5531914894
Kultarr,Antechinomys laniger,species,Animalia,Chordata,Mammalia,Dasyuridae,Antechinomys,-32.430823975,145.432657622,Australia,New South Wales,2019,7,94,-92.5531914894
Kultarr,Antechinomys laniger,species,Animalia,Chordata,Mammalia,Dasyuridae,Antechinomys,-32.433036887,145.431410183,Australia,New South Wales,2019,7,94,-92.5531914894
Kultarr,Antechinomys laniger,species,Animalia,Chordata,Mammalia,Dasyuridae,Antechinomys,-32.433036887,145.431410183,Australia,New South Wales,2019,7,94,-92.5531914894
New Holland Mouse,Pseudomys novaehollandiae,species,Animalia,Chordata,Mammalia,Muridae,Pseudomys,-31.958719583,152.43385237299998,Australia,New South Wales,2019,6,78,-92.30769230770001
New Holland Mouse,Pseudomys novaehollandiae,species,Animalia,Chordata,Mammalia,Muridae,Pseudomys,-32.8063462,151.83343180000003,Australia,New South Wales,2019,6,78,-92.30769230770001
New Holland Mouse,Pseudomys novaehollandiae,species,Animalia,Chordata,Mammalia,Muridae,Pseudomys,-32.808720715,151.835862986,Australia,New South Wales,2019,6,78,-92.30769230770001
New Holland Mouse,Pseudomys novaehollandiae,species,Animalia,Chordata,Mammalia,Muridae,Pseudomys,-31.958719583,152.43385237299998,Australia,New South Wales,2019,6,78,-92.30769230770001
New Holland Mouse,Pseudomys novaehollandiae,species,Animalia,Chordata,Mammalia,Muridae,Pseudomys,-32.8063462,151.83343180000003,Australia,New South Wales,2019,6,78,-92.30769230770001
New Holland Mouse,Pseudomys novaehollandiae,species,Animalia,Chordata,Mammalia,Muridae,Pseudomys,-32.808720715,151.835862986,Australia,New South Wales,2019,6,78,-92.30769230770001
Eastern barred bandicoot,Perameles gunnii,species,Animalia,Chordata,Mammalia,Peramelidae,Perameles,-41.15891124841811,146.35582253336906,Australia,Tasmania,2019,6,75,-92.0
Eastern barred bandicoot,Perameles gunnii,species,Animalia,Chordata,Mammalia,Peramelidae,Perameles,-42.6851815939663,146.72230052954546,Australia,Tasmania,2019,6,75,-92.0
Eastern barred bandicoot,Perameles gunnii,species,Animalia,Chordata,Mammalia,Peramelidae,Perameles,-43.2,147.1,Australia,Tasmania,2019,6,75,-92.0
Eastern barred bandicoot,Perameles gunnii,species,Animalia,Chordata,Mammalia,Peramelidae,Perameles,-41.2,146.4,Australia,Tasmania,2019,6,75,-92.0
Eastern barred bandicoot,Perameles gunnii,species,Animalia,Chordata,Mammalia,Peramelidae,Perameles,-42.68221140693387,146.7188168764278,Australia,Tasmania,2019,6,75,-92.0
Eastern barred bandicoot,Perameles gunnii,species,Animalia,Chordata,Mammalia,Peramelidae,Perameles,-37.7396794336,142.0062141858,Australia,Victoria,2019,6,75,-92.0
Australian swamp rat,Rattus lutreolus,species,Animalia,Chordata,Mammalia,Muridae,Rattus,-32.8056287,151.83360269999997,Australia,New South Wales,2019,10,97,-89.6907216495
Australian swamp rat,Rattus lutreolus,species,Animalia,Chordata,Mammalia,Muridae,Rattus,-32.808720715,151.835862986,Australia,New South Wales,2019,10,97,-89.6907216495
Australian swamp rat,Rattus lutreolus,species,Animalia,Chordata,Mammalia,Muridae,Rattus,-32.8056287,151.83360269999997,Australia,New South Wales,2019,10,97,-89.6907216495
Australian swamp rat,Rattus lutreolus,species,Animalia,Chordata,Mammalia,Muridae,Rattus,-32.808720715,151.835862986,Australia,New South Wales,2019,10,97,-89.6907216495
Australian swamp rat,Rattus lutreolus,species,Animalia,Chordata,Mammalia,Muridae,Rattus,-35.6,138.2,Australia,South Australia,2019,10,97,-89.6907216495
Australian swamp rat,Rattus lutreolus,species,Animalia,Chordata,Mammalia,Muridae,Rattus,-37.8399833,140.7625646,Australia,South Australia,2019,10,97,-89.6907216495
Australian swamp rat,Rattus lutreolus,species,Animalia,Chordata,Mammalia,Muridae,Rattus,-35.42104000000001,138.50306,Australia,South Australia,2019,10,97,-89.6907216495
Australian swamp rat,Rattus lutreolus,species,Animalia,Chordata,Mammalia,Muridae,Rattus,-37.5507,149.7565,Australia,Victoria,2019,10,97,-89.6907216495
Australian swamp rat,Rattus lutreolus,species,Animalia,Chordata,Mammalia,Muridae,Rattus,-38.4280548096,144.1799926758,Australia,Victoria,2019,10,97,-89.6907216495
Australian swamp rat,Rattus lutreolus,species,Animalia,Chordata,Mammalia,Muridae,Rattus,-37.5507,149.7565,Australia,Victoria,2019,10,97,-89.6907216495
Sandy Inland Mouse,Pseudomys hermannsburgensis,species,Animalia,Chordata,Mammalia,Muridae,Pseudomys,-22.179091,131.523187,Australia,Northern Territory,2019,2,17,-88.2352941176
Sandy Inland Mouse,Pseudomys hermannsburgensis,species,Animalia,Chordata,Mammalia,Muridae,Pseudomys,-22.179197,131.523102,Australia,Northern Territory,2019,2,17,-88.2352941176
Eastern quoll,Dasyurus viverrinus,species,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-35.1567908557487,150.6029965728521,Australia,New South Wales,2019,10,81,-87.6543209877
Eastern quoll,Dasyurus viverrinus,species,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-41.739386439899995,145.81154235469998,Australia,Tasmania,2019,10,81,-87.6543209877
Eastern quoll,Dasyurus viverrinus,species,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-43.1,147.2,Australia,Tasmania,2019,10,81,-87.6543209877
Eastern quoll,Dasyurus viverrinus,species,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-42.11666441233872,146.1755864024326,Australia,Tasmania,2019,10,81,-87.6543209877
Eastern quoll,Dasyurus viverrinus,species,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-42.68331794830157,146.7159082889884,Australia,Tasmania,2019,10,81,-87.6543209877
Eastern quoll,Dasyurus viverrinus,species,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-43.0677608039,147.2026533196,Australia,Tasmania,2019,10,81,-87.6543209877
Eastern quoll,Dasyurus viverrinus,species,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-41.8758509939,146.21601824290002,Australia,Tasmania,2019,10,81,-87.6543209877
Eastern quoll,Dasyurus viverrinus,species,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-42.0,146.2,Australia,Tasmania,2019,10,81,-87.6543209877
Eastern quoll,Dasyurus viverrinus,species,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-43.143822683512965,147.37419813056474,Australia,Tasmania,2019,10,81,-87.6543209877
Eastern quoll,Dasyurus viverrinus,species,Animalia,Chordata,Mammalia,Dasyuridae,Dasyurus,-37.94437517875372,145.55206507444382,Australia,Victoria,2019,10,81,-87.6543209877
Ghost bat,Macroderma gigas,species,Animalia,Chordata,Mammalia,Megadermatidae,Macroderma,-19.508439000000006,147.053425,Australia,Queensland,2019,2,16,-87.5
Ghost bat,Macroderma gigas,species,Animalia,Chordata,Mammalia,Megadermatidae,Macroderma,-19.508439000000006,147.053425,Australia,Queensland,2019,2,16,-87.5
Rock rat,Zyzomys argurus,species,Animalia,Chordata,Mammalia,Muridae,Zyzomys,-12.86034,132.79173,Australia,Northern Territory,2019,1,6,-83.3333333333
Eastern bettong,Bettongia gaimardi,species,Animalia,Chordata,Mammalia,Potoroidae,Bettongia,-41.821690207186435,146.2127626617439,Australia,Tasmania,2019,2,11,-81.8181818182
Eastern bettong,Bettongia gaimardi,species,Animalia,Chordata,Mammalia,Potoroidae,Bettongia,-41.51834634058002,146.18129253387448,Australia,Tasmania,2019,2,11,-81.8181818182
Red-tailed phascogale,Phascogale calura,species,Animalia,Chordata,Mammalia,Dasyuridae,Phascogale,-32.2,117.5,Australia,Western Australia,2019,1,5,-80.0
Eastern tube-nosed bat,Nyctimene robinsoni,species,Animalia,Chordata,Mammalia,Pteropodidae,Nyctimene,-23.895450125,151.2588592554,Australia,Queensland,2019,2,9,-77.7777777778
Eastern tube-nosed bat,Nyctimene robinsoni,species,Animalia,Chordata,Mammalia,Pteropodidae,Nyctimene,-23.895450125,151.2588592554,Australia,Queensland,2019,2,9,-77.7777777778
